Name,Sub Area,Ground,Club ID,Team Name,Adult male 11v11 (16-45),Adult female 11v11 (16-45),Youth male 11v11 (12-15),Youth female 11v11 (12-15),Youth male 9v9 (10-11),Youth female 9v9 (10-11),MS 7v7 (8-9),MS 5v5 (6-7),Team ID,Day Plays On,Adult male/female football sat am,Adult male/female football sat pm,Adult male/female football sun am,Adult male/female football sun pm,Adult male/female football mw,Youth male/female football 11v11 sat am,Youth male/female football 11v11 sat pm,Youth male/female football 11v11 sun am,Youth male/female football 11v11 sun pm,Youth male/female football 11v11 mw,Youth male/female football 9v9 sat am,Youth male/female football 9v9 sat pm,Youth male/female football 9v9 sun am,Youth male/female football 9v9 sun pm,Youth male/female football 9v9 mw,Minisoccer 7v7 sat am,Minisoccer 7v7 sat pm,Minisoccer 7v7 sun am,Minisoccer 7v7 sun pm,Minisoccer 7v7 mw,Minisoccer 5v5 sat am,Minisoccer 5v5 sat pm,Minisoccer 5v5 sun am,Minisoccer 5v5 sun pm,Minisoccer 5v5 mw
Keyham Kolts Juniors F.C.,Ham & Pennycross,Mayflower Community School,230092,U14,,,1,,,,,,11675598,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Marine Academy Plymouth Junior F.C.,St Budeaux & Kings Tamerton,Marine Academy,80629,U18,1,,,,,,,,11634510,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
Old Suttonians Youth F.C.,Honicknowle,Knowle Battery,83043,U18,1,,,,,,,,11635149,Saturday,,,,1,,,,,,,,,,,,,,,,,,,,,
Lakeside Athletic Youth F.C.,Ernesettle,Parkway Sports and Social Club Optimus Park,227064,U18,1,,,,,,,,11649316,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
Chaddlewood Miners Youth F.C.,Leigham & Mainstone,Hoskins Park,80497,U12,,,,,1,,,,11664708,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Friary Mill Youth F.C.,Higher Compton & Mannamead,Collins Park,207704,U9,,,,,,,1,,11632891,Sunday,,,,,,,,,,,,,,,,,,1,,,,,,,
Morley Rangers Juniors F.C.,Plymstock & Radford,Plymstock Community College,80501,U18,1,,,,,,,,11696776,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
Plymouth Marjon Youth F.C.,Leigham & Mainstone,Leigham Primary School,224394,U9a,,,,,,,1,,11654128,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Plymstock United Youth F.C.,Plymstock & Radford,Deans Cross/Forresters Field,146843,U18,1,,,,,,,,11626348,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
Keyham Kolts Youth F.C.,Peverell & Hartley,"Central Park Playing Fields (including Sports Plateau, Tip Site, Cottage Field, Barn Park Road sites",127427,U16,,,1,,,,,,11570363,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Keyham Kolts Youth F.C.,Keyham,Northdown Playing Field,127427,U9a,,,,,,,1,,11615197,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
AC Plymouth Youth F.C.,Higher Compton & Mannamead,Collins Park,211984,U10 Youth,,,,,1,,,,11658130,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Plymouth Kolts Junior F.C.,Mount Gould,Tothill Park,80545,U12,,,,,1,,,,11655335,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Sporting Lipson Youth F.C.,Lipson & Laira,Lipson Community College,229754,U18,1,,,,,,,,11599537,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
Tamerton Foliot Youth F.C.,Southway,Becton Dickinson,80604,U18,1,,,,,,,,11681625,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
Goals Soccer Schools F.C.,Plymstock & Radford,Plymstock Community College,238619,U9,,,,,,,1,,11693899,Sunday,,,,,,,,,,,,,,,,,,1,,,,,,,
Kitto All Saints Youth F.C.,Honicknowle,Knowle Battery,81075,U13,,,1,,,,,,11627272,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
AFC Plympton Girls,Ham & Pennycross,Treveneague Gardens,222861,U11,,,,,,1,,,11637882,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Keyham Kolts Youth F.C.,Peverell & Hartley,"Central Park Playing Fields (including Sports Plateau, Tip Site, Cottage Field, Barn Park Road sites",127427,U15,,,1,,,,,,11542630,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Kitto All Saints Youth F.C.,Honicknowle,Knowle Battery,81075,U10,,,,,,,1,,11685312,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Lipson F.C.,Lipson & Laira,Lipson Community College,227744,1st,1,,,,,,,,11357793,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Bar Sol Ona  F.C.,Peverell & Hartley,"Central Park Playing Fields (including Sports Plateau, Tip Site, Cottage Field, Barn Park Road sites",235850,1st,1,,,,,,,,11486668,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Valentis F.C.,Plympton St Maurice & Yealmpstone,Plympton St. Mary's Recreation Ground,236624,1st,1,,,,,,,,11513053,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Marjon F.C.,Estover Glenholt & Derriford East,Marjons,80730,2nd,1,,,,,,,,11188957,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Chaddlewood Miners Youth F.C.,Leigham & Mainstone,Hoskins Park,80497,U13,,,1,,,,,,11626981,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Goals Soccer Schools F.C.,Plymstock & Radford,Plymstock Community College,238619,U13,,,1,,,,,,11693913,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,
Friary Mill Youth F.C.,Higher Compton & Mannamead,Collins Park,207704,U11,,,,,1,,,,11622234,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Marjon F.C.,Estover Glenholt & Derriford East,Marjons,80730,3rds,1,,,,,,,,11609401,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Keyham Kolts Disability F.C.,Keyham,Northdown Playing Field,238806,U12,,,,,,,,,11698062,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,
Tamerton Foliot Youth F.C.,Whitleigh,Sir. John Hunt School,80604,U11,,,,,1,,,,11638336,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Plymouth Trophyman Youth F.C.,Higher Compton & Mannamead,Collins Park,80478,U10,,,,,,,1,,11640789,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Weston Mill Oak Villa Junior F.C.,North Prospect & Weston Mill,Weston Mill Oak Villa,80505,U18,1,,,,,,,,11582404,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
AFC Plympton Youth F.C.,Plympton St Maurice & Yealmpstone,Plympton St. Mary's Recreation Ground,80475,U18,1,1,,,,,,,11643024,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
Keyham Kolts Juniors F.C.,Keyham,Northdown Playing Field,230092,U14 Girls,,,,1,,,,,11697980,Saturday,,,,,,1,,,,,1,,,,,,,,,,,,,,
Keyham Kolts Youth F.C.,Keyham,Northdown Playing Field,127427,U14 Girls,,,,1,,,,,11626839,Saturday,,,,,,1,,,,,1,,,,,,,,,,,,,,
Morley Rangers Juniors F.C.,Plymstock & Radford,Plymstock Community College,80501,U16,,,1,,,,,,11696777,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,
Plymstock United F.C.,Plymstock & Radford,Deans Cross/Forresters Field,80409,2nd,1,,,,,,,,11113672,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Plymstock United F.C.,Plymstock & Radford,Deans Cross/Forresters Field,80409,1st,1,,,,,,,,11022590,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Goals Soccer Schools F.C.,Plymstock & Radford,Plymstock Community College,238619,U10,,,,,,,1,,11693898,Sunday,,,,,,,,,,,,,,,,,,1,,,,,,,
Goals Soccer Schools F.C.,Plymstock & Radford,Plymstock Community College,238619,U8a,,,,,,,,1,11693902,Sunday,,,,,,,,,,,,,,,,,,,,,,,1,,
Plymstock United Ladies F.C.,Plymstock & Radford,Deans Cross/Forresters Field,147288,1st,,1,,,,,,,11034097,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
Goals Soccer Schools F.C.,Plymstock & Radford,Plymstock Community College,238619,U7,,,,,,,,1,11693904,Sunday,,,,,,,,,,,,,,,,,,,,,,,1,,
Goals Soccer Schools F.C.,Plymstock & Radford,Plymstock Community College,238619,U7b,,,,,,,,1,11693911,Sunday,,,,,,,,,,,,,,,,,,,,,,,1,,
Morley Rangers F.C.,Plymstock & Radford,Plymstock Community College,146782,1st,1,,,,,,,,11006313,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Plympton Athletic F.C.,East End,Tothill (Enclosure),238814,1st,1,,,,,,,,11698111,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Keyham Kolts Juniors F.C.,Keyham,Northdown Playing Field,230092,U10,,,,,,,1,,11620827,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Keyham Kolts Juniors F.C.,Keyham,Northdown Playing Field,230092,U12,,,,,1,,,,11645792,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Goals Soccer Schools F.C.,Plymstock & Radford,Plymstock Community College,238619,U7a,,,,,,,,1,11693910,Sunday,,,,,,,,,,,,,,,,,,,,,,,1,,
Mount Gould FC,East End,Tothill (Enclosure),81340,1st,1,,,,,,,,11026649,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Morley Rangers Juniors F.C.,Plymstock & Radford,Plymstock Community College,80501,U9,,,,,,,1,,11696781,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Morley Rangers Juniors F.C.,Plymstock & Radford,Plymstock Community College,80501,U14,,,1,,,,,,11696779,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Goals Soccer Schools F.C.,Plymstock & Radford,Plymstock Community College,238619,U8,,,,,,,,1,11693900,Sunday,,,,,,,,,,,,,,,,,,,,,,,1,,
Activate Youth F.C.,Eggbuckland,Eggbuckland Community School,80971,U16,,,1,,,,,,11624016,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Railway Beacon Youth F.C.,Devonport,Devonport Park,80632,U15,,,1,,,,,,11680021,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Plymouth Spurs F.C.,Estover Glenholt & Derriford East,Tor Bridge High School (Miller Way),232112,1st,1,,,,,,,,11441407,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Plymstock United Colts F.C.,Plympton St Maurice & Yealmpstone,Plympton St. Mary's Recreation Ground,81373,U11,,,,,1,,,,11615282,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Old Priory Academy F.C.,Plympton St Maurice & Yealmpstone,Old Priory Academy,238744,U9,,,,,,,1,,11696768,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Hedges F.C.,Plympton St Maurice & Yealmpstone,Plympton St. Mary's Recreation Ground,236668,1st,1,,,,,,,,11514316,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Plymouth United F.C.,Estover Glenholt & Derriford East,Tor Bridge High School (Miller Way),82008,1st,1,,,,,,,,11388136,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Marine Academy Plymouth Ladies F.C.,Ernesettle,Parkway Sports and Social Club Optimus Park,223696,1st,,1,,,,,,,11289946,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
Woodford F.C.,Plympton St Maurice & Yealmpstone,Plympton St. Mary's Recreation Ground,228471,1st,1,,,,,,,,11374289,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
AFC Plympton Youth,Plympton St Maurice & Yealmpstone,Plympton St. Mary's Recreation Ground,80475,U11,,,,,1,,,,11636264,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Plymouth United F.C.,Estover Glenholt & Derriford East,Tor Bridge High School (Miller Way),82008,2nd,1,,,,,,,,11403907,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Activate Youth F.C.,Eggbuckland,Eggbuckland Community School,80971,U12,,,,,1,,,,11664344,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Chaddlewood Miners Youth F.C.,Colebrook Newnham & Ridgeway,Peacock Meadow,80497,U8,,,,,,,,1,11677539,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
Activate Youth F.C.,Eggbuckland,Eggbuckland Community School,80971,U15,,,1,,,,,,11641716,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Plymouth Marjon Youth F.C.,Estover Glenholt & Derriford East,Marjons,224394,U12,,,,,1,,,,11624784,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Activate Sunday F.C.,Eggbuckland,Eggbuckland Community School,228407,1st,1,,,,,,,,11372809,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Plymouth Marjon Youth F.C.,Leigham & Mainstone,Leigham Primary School,224394,U9,,,,,,,1,,11657753,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Activate Ladies F.C.,Eggbuckland,Eggbuckland Recreation Ground,220191,1st,,1,,,,,,,11242358,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
Elm United Youth F.C.,Estover Glenholt & Derriford East,Tor Bridge High School (Miller Way),80651,U15,,,1,,,,,,11624781,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
University of St Mark & St John F.C.,Estover Glenholt & Derriford East,Marjons,224521,2nd,1,,,,,,,,11695669,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Devon FA Girls Centre of Excellence F.C.,Eggbuckland,Eggbuckland Community School,214077,U13,,,,1,,,,,11653345,Saturday,,,,,,1,,,,,1,,,,,,,,,,,,,,
AC Plymouth Youth F.C.,Plympton St Maurice & Yealmpstone,Plympton St. Mary's Recreation Ground,211984,U12,,,,,1,,,,11663972,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Elm United Youth F.C.,Estover Glenholt & Derriford East,Tor Bridge High School (Miller Way),80651,U11,,,,,1,,,,11642296,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
City Police F.C.,Plympton St Maurice & Yealmpstone,Plympton St. Mary's Recreation Ground,80869,1st,1,,,,,,,,11024585,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Stoke Harriers F.C.,Peverell & Hartley,"Central Park Playing Fields (including Sports Plateau, Tip Site, Cottage Field, Barn Park Road sites",235982,1st,1,,,,,,,,11490420,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Devon FA Girls Centre of Excellence F.C.,Eggbuckland,Eggbuckland Community School,214077,U11,,,,,,1,,,11652086,,,,,,,,,,,,1,,,,,,,,,,,,,,
AFC Plympton Youth,Colebrook Newnham & Ridgeway,Ridgeway School,80475,U13,,,1,,,,,,11633821,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Activate Youth F.C.,Eggbuckland,Eggbuckland Community School,80971,U10,,,,,,,1,,11629441,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Plymouth Marjon Youth F.C.,Estover Glenholt & Derriford East,Marjons,224394,U11,,,,,1,,,,11646605,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
AFC Plympton Youth,Colebrook Newnham & Ridgeway,Ridgeway School,80475,U12,,,,,1,,,,11633756,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Marine Academy Plymouth Junior F.C.,St Budeaux & Kings Tamerton,Marine Academy,80629,U7,,,,,,,,1,11544942,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
Devon FA Girls Centre of Excellence F.C.,Eggbuckland,Eggbuckland Community School,214077,U15,,,,1,,,,,11674544,Saturday,,,,,,1,,,,,1,,,,,,,,,,,,,,
Special Olympics Plymouth & District F.C.,Ham & Pennycross,All Saints Academy,233015,Second,1,,,,,,,,11694668,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Devon FA Girls Centre of Excellence F.C.,Eggbuckland,Eggbuckland Community School,214077,U17,,1,,,,,,,11568080,Saturday,1,,,,,,,,,,,,,,,,,,,,,,,,
Elm United Youth F.C.,Estover Glenholt & Derriford East,Tor Bridge High School (Miller Way),80651,U14,,,1,,,,,,11667926,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
AC Plymouth Youth F.C.,Plympton St Maurice & Yealmpstone,Plympton St. Mary's Recreation Ground,211984,U15,,,1,,,,,,11648289,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
AC Plymouth Youth F.C.,Plympton St Maurice & Yealmpstone,Plympton St. Mary's Recreation Ground,211984,U14,,,1,,,,,,11674218,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Weston Mill Oak Villa Junior F.C.,North Prospect & Weston Mill,Weston Mill Oak Villa,80505,U13,,,1,,,,,,11569073,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Old Priory Academy F.C.,Plympton St Maurice & Yealmpstone,Old Priory Academy,238744,U8,,,,,,,,1,11696649,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
Devon FA Girls Centre of Excellence F.C.,Eggbuckland,Eggbuckland Community School,214077,U9,,,,,,,1,,11640400,Wednesday,,,,,,,,,,,,,,,,,,,,1,,,,,
Plymouth Parkway F.C.,Manadon & Widey,Plymouth Parkway FC,82678,1st,1,,,,,,,,11032811,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Marine Academy Plymouth Junior F.C.,St Budeaux & Kings Tamerton,Marine Academy,80629,U8a,,,,,,,,1,11599744,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
Marine Academy Plymouth Junior F.C.,St Budeaux & Kings Tamerton,Marine Academy,80629,U7b,,,,,,,,1,11533165,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
Barne Barton Rangers Sunday F.C.,Ernesettle,Parkway Sports and Social Club Optimus Park,81327,1st,1,,,,,,,,11026628,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Tamerton Foliot Youth F.C.,Tamerton Foliot,Mary Deane CofE PS,80604,U9,,,,,,,1,,11686889,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Tamerton Foliot Youth F.C.,Tamerton Foliot,Mary Deane CofE PS,80604,U8,,,,,,,,1,11686890,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
