Name,Sub Area,Ground,Club ID,Team Name,Adult male 11v11 (16-45),Adult female 11v11 (16-45),Youth male 11v11 (12-15),Youth female 11v11 (12-15),Youth male 9v9 (10-11),Youth female 9v9 (10-11),MS 7v7 (8-9),MS 5v5 (6-7),Team ID,Day Plays On,Adult male/female football sat am,Adult male/female football sat pm,Adult male/female football sun am,Adult male/female football sun pm,Adult male/female football mw,Youth male/female football 11v11 sat am,Youth male/female football 11v11 sat pm,Youth male/female football 11v11 sun am,Youth male/female football 11v11 sun pm,Youth male/female football 11v11 mw,Youth male/female football 9v9 sat am,Youth male/female football 9v9 sat pm,Youth male/female football 9v9 sun am,Youth male/female football 9v9 sun pm,Youth male/female football 9v9 mw,Minisoccer 7v7 sat am,Minisoccer 7v7 sat pm,Minisoccer 7v7 sun am,Minisoccer 7v7 sun pm,Minisoccer 7v7 mw,Minisoccer 5v5 sat am,Minisoccer 5v5 sat pm,Minisoccer 5v5 sun am,Minisoccer 5v5 sun pm,Minisoccer 5v5 mw
Marine Academy Plymouth Kings F.C.,St Budeaux & Kings Tamerton,Marine Academy,82339,U10,,,,,,,1,,11663223,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Marine Academy Plymouth Junior F.C.,St Budeaux & Kings Tamerton,Marine Academy,80629,U13b Girls,,,,1,,,,,11643123,Saturday,,,,,,1,,,,,1,,,,,,,,,,,,,,
Marine Academy Plymouth Kings F.C.,St Budeaux & Kings Tamerton,Marine Academy,82339,U13,,,1,,,,,,11675913,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Marine Academy Plymouth Kings F.C.,St Budeaux & Kings Tamerton,Marine Academy,82339,U15,,,1,,,,,,11682383,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Marine Academy Plymouth Junior F.C.,St Budeaux & Kings Tamerton,Marine Academy,80629,U9,,,,,,,1,,11621829,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Marine Academy Plymouth Junior F.C.,St Budeaux & Kings Tamerton,Marine Academy,80629,U7a,,,,,,,,1,11558580,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
Marine Academy Plymouth Kings F.C.,St Budeaux & Kings Tamerton,Marine Academy,82339,U11,,,,,1,,,,11660295,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Marine Academy Plymouth Kings F.C.,St Budeaux & Kings Tamerton,Marine Academy,82339,U9,,,,,,,1,,11633131,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Marine Academy Plymouth Junior F.C.,St Budeaux & Kings Tamerton,Marine Academy,80629,U11 Girls,,,,,,1,,,11631973,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Plymouth Argyle FC ,Beacon Park,Central Park (Harpers Park),80405,1st,1,,,,,,,,11113636,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Plymouth Argyle FITDC F.C.,Beacon Park,Central Park (Harpers Park),147087, Ladies,,1,,,,,,,11693340,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
Plymouth Argyle FITDC F.C.,Beacon Park,Central Park (Harpers Park),147087,Plymouth Argyle U16,,,1,,,,,,11638138,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth Argyle FITDC F.C.,Beacon Park,Central Park (Harpers Park),147087,2nd Plymouth Pilgrims,1,,,,,,,,11693337,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Devon  Disability Player Development Centre F.C.,Beacon Park,Central Park (Harpers Park),219256,U16,,,,,,,,,11541155,Monday,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth Argyle FITDC F.C.,Beacon Park,Central Park (Harpers Park),147087,1st Plymouth Argyle,1,,,,,,,,11693336,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Plymouth Argyle FITDC F.C.,Beacon Park,Central Park (Harpers Park),147087,4th Plymouth Argyle,1,,,,,,,,11693339,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Plymouth Argyle FITDC F.C.,Beacon Park,Central Park (Harpers Park),147087,3rds Plymouth Argyle,1,,,,,,,,11693338,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Plymouth Argyle FITDC F.C.,Beacon Park,Central Park (Harpers Park),147087,Plymouth Argyle U12,,,,,1,,,,11682240,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,
